ticker,name,node,window,n_weeks,actual,factor,idio,idio_share
AM,Antero Midstream,midstream_gpt,1y,52,0.20586016935398907,0.34510947985584844,-0.13924931050185937,-0.6764266780642336
DTM,DT Midstream,midstream_gpt,1m,4,0.06382868747915076,0.07000762415879846,-0.006178936679647709,-0.09680500921573894
DTM,DT Midstream,midstream_gpt,3m,13,0.12369852939020008,0.1384471296288821,-0.014748600238682005,-0.119230198704775
DTM,DT Midstream,midstream_gpt,ytd,19,0.1887660189516689,0.17602021349942193,0.012745805452246961,0.06752171562992151
DTM,DT Midstream,midstream_gpt,1y,52,0.384969130046332,0.2902035387242644,0.09476559132206758,0.24616413090229416
HESM,Hess Midstream,midstream_gpt,1m,4,-0.034712276934047326,0.06308867808919297,-0.0978009550232403,2.8174744978285426
HESM,Hess Midstream,midstream_gpt,3m,13,0.06736831152741082,0.18862224664309987,-0.12125393511568905,-1.7998660255326904
HESM,Hess Midstream,midstream_gpt,ytd,19,0.12700175556059148,0.23468262145158758,-0.1076808658909961,-0.8478691134282978
HESM,Hess Midstream,midstream_gpt,1y,52,0.09422656273033397,0.38420339867070397,-0.28997683594037,-3.077442576041447
KNTK,Kinetik Holdings,midstream_gpt,1m,4,0.036451293593766323,0.0868372108602351,-0.05038591726646878,-1.3822806353046815
KNTK,Kinetik Holdings,midstream_gpt,3m,13,0.1651307798133739,0.24488615054918988,-0.07975537073581598,-0.4829830684864035
KNTK,Kinetik Holdings,midstream_gpt,ytd,19,0.34438759415572473,0.31232505714803904,0.03206253700768569,0.0931001509688171
KNTK,Kinetik Holdings,midstream_gpt,1y,52,0.2198230964261658,0.44446745725752856,-0.22464436083136277,-1.0219324742648976
AROC,Archrock,midstream_gpt,1m,4,0.08399332257698991,0.09498978512140187,-0.010996462544411958,-0.1309206756802886
AROC,Archrock,midstream_gpt,3m,13,0.2056490735298616,0.24862305637000465,-0.04297398284014306,-0.2089675489537421
AROC,Archrock,midstream_gpt,ytd,19,0.4260662488331164,0.32627634160463814,0.09978990722847825,0.23421218531572638
AROC,Archrock,midstream_gpt,1y,52,0.48361287963028043,0.5405300174833944,-0.05691713785311392,-0.11769152611615054
KGS,Kodiak Gas Services,midstream_gpt,1m,4,0.16120163703640308,0.061730896589257456,0.09947074044714563,0.6170578802787394
KGS,Kodiak Gas Services,midstream_gpt,3m,13,0.36787758152205,0.16548394182000795,0.20239363970204208,0.5501657341136753
KGS,Kodiak Gas Services,midstream_gpt,ytd,19,0.6849047392170818,0.22902924078868608,0.45587549842839575,0.6656042400137417
KGS,Kodiak Gas Services,midstream_gpt,1y,52,0.731926046385117,0.3766060676709128,0.35531997871420423,0.48545885266562266
USAC,USA Compression Partners,midstream_gpt,1m,4,-0.001629948490790064,0.05985023698605391,-0.061480185476843974,37.71909715198636
USAC,USA Compression Partners,midstream_gpt,3m,13,0.043629923937157256,0.1444604128998443,-0.10083048896268704,-2.31103976041579
USAC,USA Compression Partners,midstream_gpt,ytd,19,0.2050570543610013,0.16964910206223263,0.03540795229876867,0.17267366104085966
USAC,USA Compression Partners,midstream_gpt,1y,52,0.19492274456233968,0.27160485676766294,-0.07668211220532326,-0.3933974579390297
KRP,Kimbell Royalty Partners,midstream_gpt,1m,4,0.006187723566554067,0.06386284432434064,-0.05767512075778657,-9.320894855344314
KRP,Kimbell Royalty Partners,midstream_gpt,3m,13,0.08193773734397253,0.20852436712520298,-0.12658662978123045,-1.5449124406477446
KRP,Kimbell Royalty Partners,midstream_gpt,ytd,19,0.2566019785087895,0.27572884949143966,-0.019126870982650146,-0.07453906276874238
KRP,Kimbell Royalty Partners,midstream_gpt,1y,52,0.21507471579339235,0.3619983185927757,-0.14692360279938335,-0.6831281969030839
EPD,Enterprise Products,midstream_pipelines,1m,4,0.019887230619672167,0.04791963769411853,-0.02803240707444636,-1.4095681601196448
EPD,Enterprise Products,midstream_pipelines,3m,13,0.08744681591773751,0.13457886843218916,-0.047132052514451656,-0.5389796303022567
EPD,Enterprise Products,midstream_pipelines,ytd,19,0.19481069910171542,0.16598409304279563,0.02882660605891979,0.14797239675151885
EPD,Enterprise Products,midstream_pipelines,1y,52,0.2538303329062873,0.2327877364067105,0.02104259649957682,0.08290024387016671
