ticker,name,node,beta_to_basket,alpha_annual,r2,resid_std_daily,cum_resid_60d,cum_resid_20d,z_resid_60d,z_resid_20d,n_obs
DOW,Dow Inc,petrochem,0.8632906171693723,-0.047250709695884144,0.7164320371496757,0.011226400410630812,0.057362047540121,0.017472797340627982,0.6596422916849667,0.34802217257211077,1254
OLN,Olin,petrochem,1.1039765082004562,-0.06647694005564465,0.5548626646835517,0.018816445477983737,-0.029010307940681518,0.029966690411229624,-0.19903943362393892,0.3561116625273516,1254
SLB,Schlumberger,ofs_onshore,0.7651219003630588,0.05756052296705488,0.6416454710435002,0.014263808617210992,-0.04156005101775483,-0.02454350713959305,-0.37615335842601416,-0.38475663718707676,1254
HAL,Halliburton,ofs_onshore,0.8780651569020499,0.047409082513386026,0.7392044481324802,0.012931062198585495,0.0032210672909821735,-0.03029087176255646,0.03215806967595704,-0.5237964779584328,1254
BKR,Baker Hughes,ofs_onshore,0.6482538855760593,0.16527372283238828,0.5441843822975465,0.014897371211067038,-0.021363846908112688,-0.024685367895267735,-0.18513741365003952,-0.3705228250095806,1254
LBRT,Liberty Energy,ofs_onshore,1.142675875846559,0.0703609518497742,0.6510996965203015,0.020438439953784675,0.06946276393188264,0.02007605929612664,0.43876168060126586,0.21964217135928227,1254
PTEN,Patterson-UTI,ofs_onshore,1.2277863153392161,-0.02910560018675886,0.7281733053329108,0.01826347314406918,0.12297922608005984,-0.01064328123808491,0.8693061660658989,-0.13030982751347284,1254
HP,Helmerich & Payne,ofs_onshore,1.020566165103324,-0.0032019156700316596,0.6697975827104085,0.01762947643977899,-0.04327880587472215,0.013823349220566439,-0.31692772228964344,0.1753310635145146,1254
AESI,Atlas Energy Solutions,ofs_onshore,0.9176030096199114,-0.03201216306146367,0.4261356626646614,0.023201930033104383,0.30724200995520007,0.4096699323728948,1.7095462692313081,3.948162139169111,792
WTTR,Select Water Solutions,ofs_onshore,0.9449629318234205,0.11707364735979092,0.5370333316610265,0.021651101531583464,0.13467465757356936,0.0253490008080096,0.8030272042244583,0.26179771447527406,1254
NESR,National Energy Services Reunited,ofs_onshore,0.650792139071036,0.4039472636333405,0.23716153566073017,0.02763424786640038,-0.03025629480177225,-0.0718970764253486,-0.14134891174619116,-0.5817663322982939,458
XPRO,Expro Group,ofs_onshore,1.0461009681423472,-0.18470181537682032,0.5024604235341081,0.025535733019841286,-0.15901416282255956,-0.1597882760911395,-0.8039181852143747,-1.3992057602954724,1254
